year,quarter,revenue_million_usd
2014,Q1,1270
2014,Q2,1340
2014,Q3,1409
2014,Q4,1485
2015,Q1,1573
2015,Q2,1645
2015,Q3,1738
2015,Q4,1823
2016,Q1,1958
2016,Q2,2105
2016,Q3,2290
2016,Q4,2478
2017,Q1,2637
2017,Q2,2785
2017,Q3,2985
2017,Q4,3286
2018,Q1,3701
2018,Q2,3907
2018,Q3,3999
2018,Q4,4187
2019,Q1,4521
2019,Q2,4923
2019,Q3,5245
2019,Q4,5467
2020,Q1,5768
2020,Q2,6148
2020,Q3,6436
2020,Q4,6644
2021,Q1,7163
2021,Q2,7342
2021,Q3,7483
2021,Q4,7709
